#pair	fingerprint	comparison	error	Alice	Bob	judgement
0	english word	Business card	large mismatch	harmony - sea - warm - voice - till - surprise - comb - thumb - smash - great - touch - burn - table	hearing - bulb - invention - daughter - see - cheap - insect - place - leg - cold - dark - damage - current
0	english word	Business card	large mismatch	seem - seat - out - dog - pipe - amusement - paint - knife - match - art - heat - till - chemical	seem - seat - out - dog - pipe - amusement - paint - knife - match - art - heat - till - chemical
0	pseudo word	Business card	large mismatch	xizapq - gizi - ranvu - alig - colot	qlxjvi - poow - joork - livj - yetxi
0	pseudo word	Business card	large mismatch	csivet - 3rez - zazuq - itol - xehox	o5lvnl - cehj - mdxud - qyha - vyari
0	hex	Business card	large mismatch	E7D4E0061B8DDC109997C6970A7F4532	E7D4E0061B8DDC109997C6970A7F4532
0	hex	Business card	large mismatch	74621C295262E3CE6B24239EBC91E54B	803FF0DDC23A90A1780D84B995B74FC7
0	english poem	Business card	large mismatch	her fertile whistle stops this wet picture truly <br>her last bottle travels before the form <br>that metal promises our bag	his able impulse listens sadly <br>her blue hook talks his new son sharply with your history <br>your first light brings
0	english poem	Business card	large mismatch	your late boat teaches loudly <br>the white drain occurs with this medical bite <br>her normal waste allows that shelf	my hard nut thinks of lazy hanging sourly freely over true free L <br>shut turn disgust hurts watch right round his L
0	english word	Business card	small mismatch	hate - ill - science - rub - blow - nose - cook - force - trick - knowledge - poison - enough - power	hate - ill - science - rub - blow - nose - cook - force - trick - knowledge - poison - enough - power
0	english word	Business card	small mismatch	trade - fall - left - ear - swim - theory - nation - knee - interest - rate - leg - east - healthy	trade - fall - left - ear - swim - theory - nation - knee - interest - rate - leg - east - healthy
0	pseudo word	Business card	small mismatch	lilufg - elq6 - usati - yuya - qinol	lirulp - oltv - usaki - cuya - mi65l
0	pseudo word	Business card	small mismatch	nuqejg - kaqg - yijye - edop - azili	nuqe4g - k5lr - yijnq - eeot - gxjli
0	hex	Business card	small mismatch	A793039E6E22F0D535D9872E62DC8A26	A79383A16E21F0D53AD1CACE62DCC726
0	hex	Business card	small mismatch	BE5665BC0C12BE502D82701A9E769918	BE2278BC0B12BE5F2DC870DF9E449918
0	english poem	Business card	small mismatch	my feather prepares <br>his narrow land smiles drily to your skin <br>our early degree remembers her move between your face	my feather prepares <br>his narrow land smiles drily to your skin <br>our early degree remembers her move between your face
0	english poem	Business card	small mismatch	his thin measure asks under her second basin <br>my noise gets strongly along this past animal <br>my smash meets this roof	his thin measure asks under her second basin <br>my noise gets strongly along this past animal <br>my smash meets this roof
0	english word	Phone	large mismatch	grass - clear - put - then - board - smooth - trade - mine - rat - bag - spring - thing - cause	grass - clear - put - then - board - smooth - trade - mine - rat - bag - spring - thing - cause
0	english word	Phone	large mismatch	among - garden - hearing - automatic - price - quite - root - substance - morning - present - existence - rhythm - oil	among - garden - hearing - automatic - price - quite - root - substance - morning - present - existence - rhythm - oil
0	pseudo word	Phone	large mismatch	5kayuj - matw - vuboc - cewb - gagay	inyyth - byem - 2iju4 - eozi - ujuum
